Fri Jun 29 03:46:04 UTC 2018
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State       
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50708 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50380 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50096 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50554 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50670 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50228 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50026 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50854 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50446 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50340 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50576 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50230 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50428 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50108 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50222 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50778 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50552 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50418 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50862 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50250 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50276 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50258 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50530 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50488 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50850 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50594 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50734 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50602 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50946 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50378 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50494 TIME_WAIT   
